frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
0,0.000000,-1.276556,-54.743549,0.000395,182.842377,50.171925,294.428650,176.045578,8.493054,-178.652008,75.987457,7.092142,225.336914,88.137123,-5.805366,-9.184973,103.469292,45.853813,155.430252,92.340553,-2.958111,-84.828102,11.575643,64.421181,221.431732
1,0.016667,-1.357745,-54.630951,-0.053112,182.854599,50.184376,294.414368,176.045547,8.493065,-178.652023,75.988052,7.098627,225.334854,88.379158,4.525346,170.761978,103.375008,45.849918,155.537354,-87.510216,2.331107,-93.960663,11.286461,64.442116,221.374893
2,0.033333,-1.356448,-54.633926,-0.049098,182.853119,50.184410,294.414825,176.045517,8.493080,-178.652039,75.987907,7.097483,225.335617,88.105476,-5.798335,-9.192890,103.469849,45.855774,155.431900,92.343544,-2.916263,-84.882462,11.565312,64.421227,221.432022
3,0.050000,-1.263872,-54.741508,0.010036,182.841263,50.172497,294.428223,176.045486,8.493094,-178.652069,75.988693,7.096910,225.336105,88.444527,-5.995272,-8.845514,103.423218,45.876003,155.382645,-87.521576,2.273154,-93.996056,11.289343,64.442421,221.376205
4,0.066667,-1.384519,-54.641365,-0.067682,182.852432,50.185757,294.415955,176.045471,8.493104,-178.652100,75.989464,7.097590,225.335114,88.112251,-5.790970,-9.174523,103.470932,45.858192,155.433411,92.343407,-2.914363,-84.879951,11.568045,64.421242,221.431702
5,0.083333,-1.227882,-54.712517,0.043154,182.843262,50.174416,294.419678,176.045441,8.493114,-178.652115,75.988777,7.095289,225.337006,88.113174,-5.785986,-9.170413,103.471138,45.858429,155.434113,-87.511047,2.327846,-93.962120,11.285955,64.442596,221.374222
6,0.100000,-1.270008,-54.743130,0.008649,182.841461,50.172295,294.427399,176.045410,8.493129,-178.652130,75.987152,7.095504,225.336487,88.457420,4.478519,170.810623,103.380035,45.847282,155.544662,92.344086,-2.945609,-84.832306,11.573313,64.421448,221.431610
7,0.116667,-1.386507,-54.635090,-0.069424,182.854111,50.183434,294.416382,176.045395,8.493142,-178.652161,75.989426,7.095242,225.335648,88.376068,4.531842,170.753723,103.371643,45.845993,155.533691,-87.509598,2.350960,-93.949120,11.283683,64.441589,221.375778
8,0.133333,-1.229795,-54.708881,0.042427,182.842773,50.174950,294.420105,176.045364,8.493154,-178.652191,75.987831,7.097495,225.336029,88.451546,4.468739,170.787735,103.381172,45.849072,155.542877,92.344925,-2.927551,-84.858650,11.569567,64.421875,221.431900
9,0.150000,-1.213850,-54.710945,0.056950,182.841660,50.173443,294.420837,176.045334,8.493163,-178.652206,75.988243,7.094300,225.336792,88.140259,-5.817719,-9.204643,103.467873,45.853012,155.429688,-87.518593,2.299246,-93.977791,11.286534,64.441437,221.375610
