frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
0,0.000000,176.865585,-42.819138,178.244186,209.411575,48.372192,166.339142,-176.828827,84.996902,177.300735,203.086044,7.771896,254.159882,89.779739,-6.084572,-0.971137,139.987701,46.235104,155.637115,-96.632339,-4.396007,177.852127,77.923759,80.271286,138.418350
1,0.016667,176.869843,-42.816841,178.230560,209.413605,48.372234,166.338913,-176.829193,84.996933,177.301086,203.078293,7.761702,254.164047,89.776321,-6.081763,-0.969144,139.987762,46.235458,155.636627,85.195107,4.619732,1.677246,77.900948,80.274239,138.460266
2,0.033333,176.857803,-42.813141,178.246414,209.411667,48.372631,166.340057,-176.827835,84.996819,177.299698,203.095795,7.812533,254.135391,89.777191,-6.083946,-0.972807,139.988068,46.234970,155.635956,-96.634689,-4.403264,177.840469,77.924469,80.267937,138.415222
3,0.050000,176.855682,-42.816154,178.233505,209.412338,48.375431,166.340897,-176.827911,84.996819,177.299759,203.083450,7.747372,254.169128,89.774727,-6.084994,-0.974875,139.987320,46.236210,155.636780,85.206047,4.619765,1.678114,77.901955,80.275162,138.460724
4,0.066667,176.869186,-42.816139,178.246033,209.411957,48.372696,166.339355,-176.826569,84.996704,177.298370,203.095032,7.814906,254.134415,89.779945,-6.082897,-0.971102,139.987427,46.236057,155.636993,-96.642265,-4.397923,177.849930,77.922974,80.267761,138.416321
5,0.083333,176.865799,-42.832016,178.244019,209.413361,48.371857,166.337280,-176.826508,84.996651,177.298248,203.093582,7.791849,254.145218,89.776627,-6.086151,-0.971974,139.987015,46.235130,155.636795,85.195580,4.621074,1.680397,77.900467,80.271461,138.458160
6,0.100000,176.868942,-42.833664,178.260910,209.411240,48.369293,166.337250,-176.826599,84.996643,177.298325,203.089325,7.793054,254.141998,89.779129,-6.084630,-0.971170,139.987747,46.236225,155.636673,-96.636803,-4.391770,177.854202,77.923744,80.270264,138.417191
7,0.116667,176.867386,-42.824211,178.256058,209.411026,48.371162,166.339371,-176.825256,84.996544,177.296951,203.094177,7.815341,254.135132,89.774849,-6.090600,-0.977825,139.987595,46.235069,155.636139,85.203720,4.619749,1.676247,77.901459,80.273911,138.459991
8,0.133333,176.864410,-42.809383,178.228439,209.412506,48.373779,166.340286,-176.823853,84.996460,177.295532,203.086380,7.804197,254.138535,89.779396,-6.084837,-0.973247,139.987686,46.236214,155.636627,-96.634933,-4.391664,177.856781,77.923172,80.269669,138.417755
9,0.150000,176.863403,-42.830379,178.243576,209.412476,48.369659,166.336914,-176.823929,84.996452,177.295593,203.089691,7.794230,254.143097,89.776756,-6.085247,-0.973226,139.987595,46.234982,155.635803,85.196724,4.622167,1.680678,77.901619,80.274452,138.460449
