Format Version,1.23,Take Name,Take 2023-06-01 10.47.29 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2023-06-01 10.47.30.167 AM,Capture Start Frame,117940,Total Frames in Take,1865,Total Exported Frames,1865,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,spm,spm,spm,spm,spm,spm,cf,cf,cf,cf,cf,cf
,ID,"FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.340283,1.455018,0.634377,133.981705,134.716629,79.369667,,,,,,
1,0.016667,-0.385348,1.482324,0.633869,133.981918,134.718903,79.372154,,,,,,
2,0.033333,-0.374300,1.506925,0.627854,133.981628,134.717133,79.368279,,,,,,
3,0.050000,-0.362982,1.484850,0.628185,133.982407,134.716110,79.369293,,,,,,
4,0.066667,-0.363228,1.475095,0.631885,133.982285,134.718536,79.372284,,,,,,
5,0.083333,-0.367048,1.503040,0.628351,133.982269,134.717392,79.371292,,,,,,
6,0.100000,-0.354864,1.475523,0.631281,133.982117,134.717926,79.372559,,,,,,
7,0.116667,-0.349847,1.489380,0.626100,133.981903,134.717224,79.371658,,,,,,
8,0.133333,-0.366925,1.497034,0.627920,133.981888,134.719299,79.374008,,,,,,
9,0.150000,-0.361127,1.486026,0.625319,133.980423,134.714569,79.366966,,,,,,
10,0.166667,-0.342575,1.475661,0.629939,133.980560,134.716400,79.369507,,,,,,
