Format Version,1.23,Take Name,Take 2023-06-14 02.01.19 PM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2023-06-14 02.01.19.893 PM,Capture Start Frame,5497934,Total Frames in Take,1916,Total Exported Frames,1916,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,spm,spm,spm,spm,spm,spm,cf,cf,cf,cf,cf,cf
,ID,"A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.288603,42.808788,-0.118783,141.088379,47.188480,105.848335,-176.293961,-85.439201,4.888202,163.851013,7.671727,248.615601
1,0.016667,-0.290319,42.808697,-0.116075,141.088104,47.188053,105.846809,-176.293961,-85.439201,4.888202,163.851013,7.671727,248.615601
2,0.033333,-0.287163,42.805557,-0.116427,141.089951,47.188061,105.848587,-176.293839,-85.439217,4.888288,163.852997,7.665106,248.619812
3,0.050000,-0.287450,42.809902,-0.118656,141.088608,47.188160,105.847740,-176.293747,-85.439232,4.888356,163.849686,7.671484,248.615738
4,0.066667,-0.284489,42.814037,-0.121044,141.087631,47.190166,105.847977,-176.293747,-85.439232,4.888356,163.849686,7.671484,248.615738
5,0.083333,-0.282421,42.799088,-0.116291,141.089081,47.187725,105.847908,-176.293747,-85.439232,4.888356,163.849686,7.671484,248.615738
6,0.100000,-0.295047,42.803822,-0.110613,141.089279,47.188545,105.847565,-176.293747,-85.439232,4.888356,163.849686,7.671484,248.615738
7,0.116667,-0.288751,42.804302,-0.110144,141.088058,47.189892,105.847549,-176.293747,-85.439232,4.888356,163.849686,7.671484,248.615738
8,0.133333,-0.289601,42.803204,-0.114987,141.089294,47.188873,105.848572,-176.293671,-85.439247,4.888407,163.852829,7.663654,248.619507
9,0.150000,-0.285550,42.801067,-0.112676,141.088699,47.188526,105.847191,-176.293564,-85.439262,4.888493,163.850647,7.670824,248.616150
10,0.166667,-0.286744,42.812008,-0.120574,141.087814,47.189693,105.847763,-176.293564,-85.439262,4.888493,163.850647,7.670824,248.616150
11,0.183333,-0.290657,42.799984,-0.110714,141.088516,47.189072,105.848816,-176.293991,-85.439140,4.888304,163.748306,7.854181,248.563354
12,0.200000,-0.291562,42.804119,-0.112305,141.087814,47.189487,105.848289,-176.293884,-85.439156,4.888361,163.852219,7.665167,248.620224
13,0.216667,-0.285651,42.808392,-0.118575,141.088562,47.190392,105.849121,-176.293884,-85.439156,4.888361,163.852219,7.665167,248.620224
14,0.233333,-0.285132,42.803581,-0.112639,141.089706,47.188580,105.847954,-176.293915,-85.439156,4.888331,163.837021,7.628731,248.642975
15,0.250000,-0.287278,42.804657,-0.114071,141.088608,47.188293,105.848381,-176.293808,-85.439171,4.888427,163.852081,7.665773,248.619110
16,0.266667,-0.293668,42.806164,-0.115851,141.087585,47.190468,105.848816,-176.293823,-85.439171,4.888403,163.838165,7.627187,248.642990
17,0.283333,-0.286551,42.801689,-0.114079,141.089386,47.187698,105.848000,-176.293732,-85.439194,4.888478,163.851639,7.667012,248.616760
18,0.300000,-0.286658,42.804413,-0.116511,141.087967,47.190094,105.848228,-176.293732,-85.439194,4.888478,163.851639,7.667012,248.616760
19,0.316667,-0.288674,42.804581,-0.109390,141.088409,47.188854,105.847404,-176.293594,-85.439201,4.888588,163.853302,7.665164,248.620468
20,0.333333,-0.282600,42.803951,-0.119797,141.089645,47.188488,105.847595,-176.293503,-85.439217,4.888664,163.851013,7.671069,248.615356
21,0.350000,-0.283483,42.806389,-0.114085,141.088562,47.188644,105.847549,-176.293503,-85.439217,4.888664,163.851013,7.671069,248.615356
22,0.366667,-0.284661,42.808414,-0.119078,141.088181,47.190434,105.848503,-176.293503,-85.439217,4.888664,163.851013,7.671069,248.615356
23,0.383333,-0.282799,42.802578,-0.114341,141.088303,47.187878,105.847839,-176.293365,-85.439232,4.888757,163.852707,7.664627,248.620193
24,0.400000,-0.284605,42.804924,-0.113140,141.088776,47.188869,105.847977,-176.293365,-85.439232,4.888757,163.852707,7.664627,248.620193
25,0.416667,-0.295145,42.806000,-0.111879,141.088135,47.189861,105.848572,-176.293304,-85.439247,4.888811,163.851456,7.670259,248.616837
26,0.433333,-0.285117,42.802074,-0.116886,141.088486,47.189228,105.848991,-176.293182,-85.439270,4.888900,163.852707,7.664002,248.619705
27,0.450000,-0.289599,42.804924,-0.111324,141.087967,47.189220,105.847382,-176.293182,-85.439270,4.888900,163.852707,7.664002,248.619705
28,0.466667,-0.285376,42.801998,-0.119004,141.086838,47.189487,105.846939,-176.293182,-85.439270,4.888900,163.852707,7.664002,248.619705
29,0.483333,-0.286450,42.805054,-0.116045,141.088730,47.188343,105.847397,-176.293213,-85.439270,4.888865,163.838242,7.626732,248.643021
30,0.500000,-0.291895,42.804409,-0.113903,141.088348,47.189606,105.848000,-176.293106,-85.439285,4.888944,163.852707,7.665530,248.619583
31,0.516667,-0.290332,42.802319,-0.110385,141.087509,47.191238,105.847931,-176.292984,-85.439301,4.889030,163.850479,7.671985,248.615936
32,0.533333,-0.281001,42.802185,-0.118180,141.089203,47.187672,105.847672,-176.293106,-85.439316,4.888882,163.839050,7.622756,248.646851
33,0.550000,-0.285065,42.804672,-0.114104,141.088104,47.189362,105.847809,-176.292999,-85.439339,4.888967,163.850250,7.670527,248.616318
34,0.566667,-0.283786,42.804119,-0.114204,141.087906,47.190819,105.848122,-176.292999,-85.439339,4.888967,163.850250,7.670527,248.616318
35,0.583333,-0.286545,42.801479,-0.118025,141.089279,47.187477,105.847572,-176.292999,-85.439339,4.888967,163.850250,7.670527,248.616318
36,0.600000,-0.286746,42.806828,-0.117234,141.088013,47.189445,105.848083,-176.292999,-85.439339,4.888967,163.850250,7.670527,248.616318
37,0.616667,-0.281431,42.807518,-0.114395,141.087311,47.188713,105.847511,-176.292999,-85.439339,4.888967,163.850250,7.670527,248.616318
38,0.633333,-0.284927,42.802563,-0.117288,141.088989,47.188950,105.848610,-176.293427,-85.439217,4.888764,163.748779,7.853644,248.564240
39,0.650000,-0.281663,42.808376,-0.117012,141.088638,47.188492,105.847275,-176.293320,-85.439232,4.888847,163.853043,7.664444,248.620300
40,0.666667,-0.287653,42.809303,-0.119583,141.087555,47.189835,105.847862,-176.293228,-85.439247,4.888923,163.850769,7.670809,248.615997
41,0.683333,-0.286971,42.801548,-0.120069,141.089508,47.187164,105.848244,-176.293106,-85.439262,4.889017,163.852158,7.664692,248.620087
42,0.700000,-0.283446,42.802834,-0.111248,141.089432,47.189034,105.847916,-176.293015,-85.439278,4.889075,163.851410,7.669281,248.616058
43,0.716667,-0.282496,42.811333,-0.118765,141.087708,47.189636,105.847191,-176.293015,-85.439278,4.889075,163.851410,7.669281,248.616058
44,0.733333,-0.285336,42.804111,-0.118803,141.089264,47.188198,105.848244,-176.293015,-85.439278,4.889075,163.851410,7.669281,248.616058
45,0.750000,-0.286372,42.804779,-0.114822,141.088211,47.190510,105.848396,-176.292908,-85.439301,4.889161,163.853668,7.662494,248.621445
46,0.766667,-0.284509,42.812351,-0.119779,141.088364,47.189014,105.847572,-176.292908,-85.439301,4.889161,163.853668,7.662494,248.621445
47,0.783333,-0.287877,42.803440,-0.113983,141.089233,47.187840,105.847527,-176.292831,-85.439308,4.889230,163.851089,7.669827,248.616409
48,0.800000,-0.282850,42.804928,-0.117411,141.088730,47.189548,105.847839,-176.293243,-85.439346,4.888775,163.837738,7.627495,248.642807
49,0.816667,-0.291177,42.809959,-0.116154,141.087921,47.190136,105.848145,-176.293167,-85.439354,4.888823,163.851974,7.664280,248.620361
50,0.833333,-0.281025,42.805664,-0.116182,141.089645,47.187115,105.847038,-176.293167,-85.439354,4.888823,163.851974,7.664280,248.620361
51,0.850000,-0.289750,42.805885,-0.116508,141.088928,47.190155,105.848099,-176.293228,-85.439354,4.888774,163.836792,7.627812,248.643143
52,0.866667,-0.287809,42.807034,-0.114686,141.088501,47.189362,105.847527,-176.293121,-85.439369,4.888843,163.850616,7.672152,248.615738
53,0.883333,-0.282405,42.807068,-0.119020,141.088959,47.187096,105.846893,-176.293015,-85.439392,4.888923,163.851852,7.664896,248.619934
54,0.900000,-0.288786,42.805599,-0.115639,141.087799,47.190006,105.847725,-176.293015,-85.439392,4.888923,163.851852,7.664896,248.619934
55,0.916667,-0.288508,42.802158,-0.115197,141.087677,47.188889,105.847534,-176.292938,-85.439407,4.888997,163.850983,7.670671,248.615768
56,0.933333,-0.286528,42.798092,-0.118928,141.088989,47.187946,105.847931,-176.292938,-85.439407,4.888997,163.850983,7.670671,248.615768
57,0.950000,-0.279013,42.816219,-0.126271,141.088104,47.187954,105.846535,-176.292938,-85.439407,4.888997,163.850983,7.670671,248.615768
58,0.966667,-0.287980,42.804558,-0.117104,141.088425,47.188496,105.847260,-176.292831,-85.439423,4.889065,163.852966,7.665054,248.620514
59,0.983333,-0.282497,42.804565,-0.115239,141.089127,47.188965,105.848167,-176.292831,-85.439423,4.889065,163.852966,7.665054,248.620514
60,1.000000,-0.279371,42.811604,-0.124565,141.087662,47.189236,105.848053,-176.292725,-85.439438,4.889153,163.850433,7.669886,248.615616
61,1.016667,-0.282160,42.809887,-0.116006,141.089218,47.187965,105.846931,-176.292587,-85.439453,4.889250,163.852234,7.664822,248.619980
62,1.033333,-0.284727,42.799515,-0.112256,141.089172,47.188343,105.847824,-176.292603,-85.439453,4.889233,163.836594,7.626963,248.643036
63,1.050000,-0.284590,42.802814,-0.113336,141.088348,47.188618,105.847145,-176.292542,-85.439468,4.889283,163.852509,7.666226,248.619843
64,1.066667,-0.286189,42.808151,-0.115234,141.087845,47.189426,105.847359,-176.292969,-85.439354,4.889069,163.749176,7.854490,248.564865
65,1.083333,-0.286879,42.799641,-0.114137,141.089172,47.188633,105.847672,-176.292862,-85.439369,4.889152,163.853210,7.664802,248.620422
66,1.100000,-0.285838,42.807888,-0.118493,141.088516,47.188587,105.846954,-176.292725,-85.439384,4.889259,163.850433,7.670204,248.616547
67,1.116667,-0.285297,42.809261,-0.120658,141.087845,47.189251,105.847099,-176.292633,-85.439407,4.889333,163.852234,7.664872,248.620392
68,1.133333,-0.285760,42.803516,-0.116159,141.089020,47.189182,105.848763,-176.292633,-85.439407,4.889333,163.852234,7.664872,248.620392
69,1.150000,-0.291597,42.803307,-0.114001,141.088364,47.189610,105.847908,-176.292633,-85.439407,4.889333,163.852234,7.664872,248.620392
70,1.166667,-0.287957,42.810696,-0.116485,141.088852,47.188820,105.847404,-176.292633,-85.439407,4.889333,163.852234,7.664872,248.620392
71,1.183333,-0.283671,42.803101,-0.117077,141.089218,47.187458,105.848312,-176.292542,-85.439407,4.889398,163.851379,7.669178,248.616364
72,1.200000,-0.291029,42.809669,-0.115662,141.088898,47.189117,105.847000,-176.292435,-85.439423,4.889492,163.852737,7.665891,248.620575
73,1.216667,-0.293741,42.809978,-0.112311,141.088608,47.189587,105.847214,-176.292328,-85.439445,4.889559,163.852097,7.670094,248.616928
74,1.233333,-0.286486,42.800606,-0.116930,141.089111,47.187511,105.848076,-176.292328,-85.439445,4.889559,163.852097,7.670094,248.616928
75,1.250000,-0.292228,42.805019,-0.116332,141.087997,47.189163,105.847679,-176.292328,-85.439445,4.889559,163.852097,7.670094,248.616928
76,1.266667,-0.285766,42.807793,-0.119631,141.088562,47.189095,105.847359,-176.292328,-85.439445,4.889559,163.852097,7.670094,248.616928
77,1.283333,-0.287220,42.802021,-0.114923,141.088593,47.188061,105.848076,-176.292740,-85.439323,4.889370,163.749161,7.854574,248.564117
78,1.300000,-0.287509,42.807327,-0.116579,141.088531,47.189137,105.847763,-176.292648,-85.439346,4.889450,163.850433,7.672008,248.616211
79,1.316667,-0.286247,42.808723,-0.117330,141.088242,47.189396,105.848145,-176.292526,-85.439354,4.889547,163.852997,7.664794,248.620911
80,1.333333,-0.281891,42.803173,-0.112275,141.089371,47.187595,105.847755,-176.292847,-85.439262,4.889382,163.769287,7.814630,248.573380
81,1.350000,-0.287973,42.807121,-0.116212,141.088684,47.189434,105.847633,-176.292725,-85.439278,4.889476,163.852203,7.664315,248.620010
82,1.366667,-0.288006,42.808727,-0.121274,141.089035,47.188686,105.847595,-176.292725,-85.439278,4.889476,163.852203,7.664315,248.620010
83,1.383333,-0.282489,42.801556,-0.112760,141.089233,47.187695,105.847458,-176.292725,-85.439278,4.889476,163.852203,7.664315,248.620010
84,1.400000,-0.288150,42.808945,-0.117900,141.088303,47.188808,105.847931,-176.292664,-85.439293,4.889530,163.851486,7.670906,248.616119
85,1.416667,-0.286389,42.803387,-0.114554,141.087860,47.191067,105.848297,-176.292664,-85.439293,4.889530,163.851486,7.670906,248.616119
86,1.433333,-0.290380,42.802494,-0.112198,141.089249,47.186756,105.847183,-176.292587,-85.439308,4.889592,163.852676,7.664424,248.620346
87,1.450000,-0.288276,42.805431,-0.115673,141.088318,47.188980,105.847359,-176.292587,-85.439308,4.889592,163.852676,7.664424,248.620346
88,1.466667,-0.274744,42.816269,-0.126554,141.088135,47.188507,105.846359,-176.292450,-85.439331,4.889687,163.850784,7.668915,248.616653
89,1.483333,-0.286448,42.801472,-0.112620,141.089905,47.187141,105.847610,-176.292328,-85.439346,4.889803,163.852829,7.663382,248.620346
90,1.500000,-0.287274,42.806984,-0.116751,141.087418,47.189121,105.847656,-176.292328,-85.439346,4.889803,163.852829,7.663382,248.620346
91,1.516667,-0.283145,42.812824,-0.122289,141.088150,47.189037,105.846931,-176.292328,-85.439346,4.889803,163.852829,7.663382,248.620346
