Frame,time,spm_rot_x,spm_rot_y,spm_rot_z,spm_pos_x,spm_pos_y,spm_pos_z,cf_rot_x,cf_rot_y,cf_rot_z,cf_pos_x,cf_pos_y,cf_pos_z
0,0.000000,-0.281905,42.812603,-0.119868,141.087891,47.188480,105.849457,175.383209,83.604836,-176.417145,137.568787,7.899177,257.975006
1,0.016667,-0.287232,42.813530,-0.116986,141.087967,47.189461,105.849388,175.381500,83.603561,-176.417511,137.554108,7.853138,258.011719
2,0.033333,-0.283772,42.806168,-0.115570,141.088776,47.186241,105.848549,175.381500,83.603561,-176.417511,137.554108,7.853138,258.011719
3,0.050000,-0.277542,42.811359,-0.117536,141.088226,47.188038,105.848267,175.379761,83.602669,-176.417435,137.563431,7.862650,257.999054
4,0.066667,-0.286055,42.813595,-0.120615,141.088318,47.188316,105.848549,175.378983,83.601372,-176.418655,137.553009,7.853492,258.010925
5,0.083333,-0.287044,42.805218,-0.111978,141.089081,47.186939,105.849121,175.382507,83.601715,-176.422760,137.569366,7.898521,257.975800
6,0.100000,-0.288672,42.810749,-0.112933,141.088623,47.188969,105.849220,175.380325,83.600876,-176.422333,137.564270,7.860014,258.000000
7,0.116667,-0.294944,42.809620,-0.114981,141.088165,47.188633,105.848480,175.382874,83.600830,-176.424271,137.568893,7.899475,257.975037
8,0.133333,-0.284766,42.807705,-0.116765,141.089218,47.186440,105.848801,175.391708,83.600609,-176.433426,137.569977,7.896733,257.976379
9,0.150000,-0.283780,42.808838,-0.113774,141.088242,47.187428,105.849922,175.391678,83.599770,-176.435226,137.564926,7.858774,258.000122
10,0.166667,-0.283817,42.815868,-0.123749,141.088196,47.190022,105.849586,175.391678,83.599770,-176.435226,137.564926,7.858774,258.000122
11,0.183333,-0.282510,42.806675,-0.119644,141.089157,47.188099,105.848465,175.391357,83.599792,-176.434723,137.568802,7.899463,257.974731
12,0.200000,-0.286757,42.809357,-0.115196,141.088913,47.187656,105.848572,175.396942,83.599342,-176.440277,137.568390,7.899368,257.975372
13,0.216667,-0.281057,42.812450,-0.115402,141.087311,47.188862,105.850029,175.394104,83.598557,-176.439178,137.563339,7.860871,257.999268
14,0.233333,-0.276620,42.808170,-0.113467,141.089539,47.186535,105.848885,175.392258,83.597221,-176.439285,137.553925,7.853992,258.010529
15,0.250000,-0.283117,42.813847,-0.122979,141.088440,47.187538,105.848869,175.367096,83.599724,-176.409012,137.569046,7.899952,257.974976
16,0.266667,-0.287283,42.809715,-0.114276,141.088516,47.187477,105.849052,175.836899,83.588554,-176.826340,137.569107,7.899833,257.975342
17,0.283333,-0.280113,42.809959,-0.118749,141.089645,47.186695,105.848312,175.828156,83.588829,-176.817917,137.569687,7.897496,257.975952
18,0.300000,-0.285402,42.813011,-0.120287,141.087799,47.188522,105.849945,175.798340,83.591743,-176.790344,137.568253,7.901108,257.974579
19,0.316667,-0.287865,42.812630,-0.117472,141.087341,47.189610,105.849754,175.797104,83.590927,-176.790863,137.564331,7.859983,257.999725
20,0.333333,-0.284821,42.804264,-0.115886,141.089371,47.186546,105.848633,175.797104,83.590927,-176.790863,137.564331,7.859983,257.999725
21,0.350000,-0.285632,42.813992,-0.115975,141.088608,47.188782,105.849144,175.797104,83.590927,-176.790863,137.564331,7.859983,257.999725
22,0.366667,-0.286370,42.811081,-0.122017,141.087921,47.188995,105.850044,175.797104,83.590927,-176.790863,137.564331,7.859983,257.999725
23,0.383333,-0.283497,42.809269,-0.115515,141.089417,47.186695,105.849419,175.797104,83.590927,-176.790863,137.564331,7.859983,257.999725
24,0.400000,-0.283071,42.811951,-0.117509,141.089127,47.186066,105.848518,175.797104,83.590927,-176.790863,137.564331,7.859983,257.999725
25,0.416667,-0.293554,42.806858,-0.111523,141.088211,47.188915,105.849075,175.795212,83.591400,-176.789108,137.568588,7.899833,257.974854
26,0.433333,-0.275391,42.812168,-0.116492,141.089264,47.186069,105.848679,175.793961,83.590569,-176.789780,137.564117,7.860451,257.998596
27,0.450000,-0.283197,42.810261,-0.114670,141.088028,47.189125,105.849930,175.785660,83.590332,-176.781570,137.568970,7.899976,257.974152
28,0.466667,-0.289582,42.809174,-0.113243,141.087967,47.187485,105.848206,175.789322,83.590096,-176.785034,137.568451,7.900882,257.974945
29,0.483333,-0.282102,42.811676,-0.118481,141.089371,47.187023,105.849037,175.789490,83.589165,-176.787003,137.564285,7.859371,257.999329
30,0.500000,-0.286226,42.807556,-0.114874,141.088806,47.187336,105.849037,175.789490,83.589165,-176.787003,137.564285,7.859371,257.999329
31,0.516667,-0.286927,42.811138,-0.114372,141.088440,47.187309,105.849007,175.789490,83.589165,-176.787003,137.564285,7.859371,257.999329
32,0.533333,-0.288087,42.806015,-0.112372,141.089172,47.187416,105.849136,175.789490,83.589165,-176.787003,137.564285,7.859371,257.999329
33,0.550000,-0.285708,42.813560,-0.119793,141.088638,47.187416,105.848885,175.779663,83.589882,-176.777176,137.569839,7.899344,257.974945
34,0.566667,-0.292239,42.802479,-0.109993,141.088242,47.188187,105.848946,175.782440,83.589951,-176.780060,137.569290,7.900119,257.975342
35,0.583333,-0.285187,42.808582,-0.118669,141.088730,47.187870,105.849899,175.783447,83.589806,-176.781113,137.569565,7.897377,257.976196
36,0.600000,-0.281086,42.815220,-0.121855,141.088379,47.188770,105.848953,175.781036,83.588524,-176.780792,137.552719,7.854810,258.009827
37,0.616667,-0.289618,42.813091,-0.115591,141.088516,47.188412,105.848816,175.782730,83.587563,-176.784256,137.564072,7.859924,257.999207
38,0.633333,-0.287639,42.803719,-0.107617,141.089340,47.185905,105.847931,175.644608,83.593979,-176.644104,137.569305,7.898057,257.974976
39,0.650000,-0.285914,42.808868,-0.117033,141.088623,47.188396,105.848274,175.646149,83.594383,-176.645950,137.569229,7.898831,257.974976
40,0.666667,-0.279354,42.815983,-0.119995,141.088257,47.188721,105.849052,175.645538,83.593582,-176.647186,137.564301,7.860303,257.999023
41,0.683333,-0.281992,42.808414,-0.116355,141.089218,47.186481,105.847839,175.644699,83.592285,-176.648529,137.552826,7.854177,258.009369
42,0.700000,-0.272666,42.815533,-0.125135,141.088409,47.187393,105.848824,175.638977,83.592514,-176.642654,137.569153,7.899332,257.974792
43,0.716667,-0.288400,42.809334,-0.114340,141.088150,47.188526,105.848167,175.634567,83.593063,-176.637894,137.568787,7.901025,257.974701
44,0.733333,-0.283676,42.806995,-0.114031,141.088608,47.186314,105.848206,175.632339,83.593353,-176.635666,137.569138,7.898641,257.975830
45,0.750000,-0.282535,42.812584,-0.124748,141.088364,47.187225,105.848289,175.632599,83.593697,-176.636337,137.569611,7.899332,257.974854
46,0.766667,-0.282001,42.813137,-0.116449,141.088409,47.189007,105.848862,175.628876,83.594048,-176.632706,137.569504,7.900167,257.974823
47,0.783333,-0.283043,42.810177,-0.114940,141.089539,47.187508,105.848694,175.636795,83.592087,-176.642563,137.554810,7.857271,258.005798
48,0.800000,-0.284311,42.806583,-0.114687,141.088287,47.186832,105.848083,175.641327,83.591393,-176.646942,137.569565,7.898140,257.975464
49,0.816667,-0.285476,42.813873,-0.119146,141.088074,47.188194,105.848396,175.644882,83.591530,-176.651031,137.568146,7.900000,257.975494
50,0.833333,-0.287048,42.807549,-0.114926,141.089035,47.188011,105.849144,175.642792,83.590714,-176.650742,137.563934,7.857186,258.000031
51,0.850000,-0.287677,42.810936,-0.115796,141.088547,47.186993,105.848717,175.642792,83.590714,-176.650742,137.563934,7.857186,258.000031
52,0.866667,-0.289441,42.812283,-0.120163,141.088547,47.188290,105.848267,175.641556,83.589432,-176.651581,137.554047,7.855508,258.010895
53,0.883333,-0.278754,42.810707,-0.119571,141.088989,47.186214,105.848442,175.640640,83.588570,-176.652298,137.564423,7.860149,258.000092
54,0.900000,-0.289180,42.807846,-0.112639,141.088486,47.187393,105.848488,175.646698,83.588280,-176.658600,137.568558,7.898319,257.975525
55,0.916667,-0.282200,42.816311,-0.115559,141.087845,47.188259,105.848564,175.598068,83.591125,-176.610367,137.568924,7.898283,257.976410
56,0.933333,-0.278913,42.811081,-0.121415,141.088486,47.186966,105.848480,175.594604,83.589920,-176.608780,137.553497,7.854296,258.010468
57,0.950000,-0.279590,42.814617,-0.122309,141.088242,47.188080,105.847931,175.593689,83.590042,-176.607910,137.568222,7.899332,257.974487
58,0.966667,-0.284198,42.814583,-0.119761,141.088272,47.186855,105.847084,175.591858,83.588745,-176.608124,137.553894,7.853556,258.010712
59,0.983333,-0.284778,42.805214,-0.115032,141.088882,47.186024,105.847549,175.592407,83.587891,-176.610596,137.564865,7.858666,257.999908
60,1.000000,-0.280806,42.812580,-0.115668,141.088242,47.187023,105.847931,175.337860,83.601898,-176.382034,137.569168,7.899141,257.975281
61,1.016667,-0.284753,42.816505,-0.121025,141.087936,47.187973,105.847916,175.336899,83.600647,-176.382996,137.553360,7.853970,258.010529
62,1.033333,-0.287199,42.806332,-0.116093,141.088959,47.185863,105.847717,175.336899,83.600647,-176.382996,137.553360,7.853970,258.010529
63,1.050000,-0.289041,42.810875,-0.118708,141.088150,47.187298,105.848549,175.336899,83.600647,-176.382996,137.553360,7.853970,258.010529
64,1.066667,-0.287818,42.809273,-0.111940,141.087540,47.187943,105.847839,175.749313,83.588203,-176.729950,137.568558,7.900167,257.975830
65,1.083333,-0.279127,42.811100,-0.121632,141.089569,47.185860,105.847382,175.749710,83.587440,-176.732315,137.564819,7.859842,257.999542
66,1.100000,-0.282050,42.810722,-0.117918,141.088181,47.187374,105.847618,175.747360,83.587746,-176.729568,137.568848,7.899022,257.975342
67,1.116667,-0.287240,42.817360,-0.122734,141.088348,47.188068,105.848267,175.740982,83.588181,-176.723160,137.568207,7.900500,257.975128
68,1.133333,-0.282975,42.808319,-0.120190,141.088791,47.185474,105.847931,175.739502,83.587395,-176.723495,137.564453,7.858074,257.999664
69,1.150000,-0.286603,42.813370,-0.120246,141.088730,47.187569,105.848564,175.739502,83.587395,-176.723495,137.564453,7.858074,257.999664
70,1.166667,-0.289304,42.809731,-0.114606,141.087799,47.187286,105.847763,175.739502,83.587395,-176.723495,137.564453,7.858074,257.999664
71,1.183333,-0.286631,42.805584,-0.116494,141.088943,47.186512,105.847977,175.739502,83.587395,-176.723495,137.564453,7.858074,257.999664
72,1.200000,-0.284221,42.811749,-0.112676,141.087753,47.188015,105.849709,175.739502,83.587395,-176.723495,137.564453,7.858074,257.999664
73,1.216667,-0.285871,42.812366,-0.119973,141.087921,47.188026,105.848289,175.739029,83.586021,-176.725128,137.553192,7.854167,258.010559
74,1.233333,-0.282084,42.811302,-0.121368,141.090088,47.185654,105.848373,175.738785,83.585052,-176.726669,137.563736,7.859555,257.999939
75,1.250000,-0.286846,42.810143,-0.119438,141.088425,47.187130,105.847847,175.738129,83.583809,-176.728119,137.552841,7.854966,258.009491
76,1.266667,-0.286533,42.810287,-0.115650,141.088913,47.187645,105.848846,175.737610,83.583031,-176.729431,137.563461,7.859495,258.000458
77,1.283333,-0.282785,42.813972,-0.117012,141.088852,47.187378,105.848816,175.736649,83.581657,-176.730606,137.553787,7.853436,258.010559
78,1.300000,-0.282405,42.812805,-0.119306,141.088409,47.187447,105.848602,175.731796,83.582275,-176.725433,137.568802,7.898223,257.975952
