Format Version,1.23,Take Name,OneMeterForward_013,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2023-05-31 10.50.37.064 AM,Capture Start Frame,11580522,Total Frames in Take,1286,Total Exported Frames,1286,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,spm,spm,spm,spm,spm,spm,cf,cf,cf,cf,cf,cf
,ID,"FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.026936,-0.000693,0.062997,1.292729,1.349702,1.111789,-1.355073,-31.631157,-5.035513,1.272599,0.073622,2.365162
1,0.016667,0.899501,-4.021450,-179.918350,1.292695,1.349716,1.111812,-2.560881,-31.373367,-5.877425,1.272451,0.073293,2.364920
2,0.033333,-0.031654,0.001795,0.060536,1.292728,1.349705,1.111780,-1.384484,-31.477634,-5.057158,1.272414,0.073624,2.365036
3,0.050000,-0.025782,0.001649,0.061901,1.292731,1.349707,1.111785,-1.423124,-31.483454,-5.004725,1.272424,0.073617,2.365028
4,0.066667,0.897494,-4.020325,-179.919113,1.292695,1.349722,1.111810,-2.513656,-31.372896,-5.790815,1.272438,0.073248,2.364895
5,0.083333,-0.031446,0.001800,0.063527,1.292722,1.349705,1.111777,-2.286252,-31.435011,-5.658177,1.272446,0.073281,2.364909
