Frame,time,spm_rot_x,spm_rot_y,spm_rot_z,spm_pos_x,spm_pos_y,spm_pos_z,cf_rot_x,cf_rot_y,cf_rot_z,cf_pos_x,cf_pos_y,cf_pos_z
0,0,-26.936,-693,62.997,1.292.729,1.349.702,1.111.789,-1.355.073,-31.631.157,-5.035.513,1.272.599,73.622,2.365.162
1,16.667,899.501,-4.021.450,-179.918.350,1.292.695,1.349.716,1.111.812,-2.560.881,-31.373.367,-5.877.425,1.272.451,73.293,2.364.920
2,33.333,-31.654,1.795,60.536,1.292.728,1.349.705,1.111.780,-1.384.484,-31.477.634,-5.057.158,1.272.414,73.624,2.365.036
3,50.000,-25.782,1.649,61.901,1.292.731,1.349.707,1.111.785,-1.423.124,-31.483.454,-5.004.725,1.272.424,73.617,2.365.028
4,66.667,897.494,-4.020.325,-179.919.113,1.292.695,1.349.722,1.111.810,-2.513.656,-31.372.896,-5.790.815,1.272.438,73.248,2.364.895
5,83.333,-31.446,1.800,63.527,1.292.722,1.349.705,1.111.777,-2.286.252,-31.435.011,-5.658.177,1.272.446,73.281,2.364.909
6,100.000,-25.753,476,61.886,1.292.732,1.349.709,1.111.784,-1.344.240,-31.613.354,-5.117.391,1.272.613,73.652,2.365.172
7,116.667,-29.653,-170,64.938,1.292.725,1.349.698,1.111.778,-1.469.990,-31.614.511,-5.082.702,1.272.615,73.640,2.365.172
8,133.333,-30.252,-2.360,62.749,1.292.722,1.349.700,1.111.776,-1.319.355,-31.478.828,-5.036.767,1.272.426,73.658,2.365.045
9,150.000,-24.701,1.838,62.106,1.292.727,1.349.709,1.111.789,-1.450.965,-31.626.204,-5.073.105,1.272.621,73.685,2.365.191
10,166.667,-28.315,-2.675,63.815,1.292.719,1.349.701,1.111.783,-1.339.662,-31.473.003,-5.041.012,1.272.432,73.650,2.365.042
11,183.333,-14.316,12.304,54.978,1.292.717,1.349.683,1.111.762,-1.506.880,-31.458.307,-5.108.403,1.272.427,73.640,2.365.040
12,200.000,-26.383,347,62.896,1.292.732,1.349.712,1.111.792,-1.392.442,-31.672.277,-4.952.282,1.272.617,73.689,2.365.201
13,216.667,-47.943,19.136,49.253,1.292.693,1.349.720,1.111.811,246.766,-32.022.884,-3.943.851,1.272.592,74.169,2.366.081
14,233.333,-25.974,-1.875,59.479,1.292.724,1.349.699,1.111.783,-2.550.523,-31.393.650,-5.838.278,1.272.436,73.239,2.364.889
15,250.000,-27.559,2.608,60.831,1.292.728,1.349.706,1.111.786,-1.415.357,-31.640.814,-5.026.025,1.272.597,73.604,2.365.146
16,266.667,-30.442,-530,64.855,1.292.720,1.349.695,1.111.778,123.843,-31.969.158,-4.158.179,1.272.596,74.121,2.366.048
17,283.333,-27.702,34,60.040,1.292.725,1.349.700,1.111.776,-58.463,-31.986.578,-4.173.705,1.272.593,74.126,2.366.048
18,300.000,-26.054,1.196,63.150,1.292.728,1.349.703,1.111.784,-1.427.932,-31.458.496,-5.153.410,1.272.421,73.626,2.365.026
19,316.667,-31.314,733,62.455,1.292.717,1.349.703,1.111.779,-2.327.282,-31.422.941,-5.630.768,1.272.446,73.258,2.364.898
20,333.333,-29.275,-1.134,63.427,1.292.722,1.349.702,1.111.780,-2.470.997,-31.411.945,-5.683.753,1.272.442,73.281,2.364.913
21,350.000,-27.145,613,61.715,1.292.730,1.349.706,1.111.788,-1.540.077,-31.438.931,-5.169.542,1.272.426,73.659,2.365.050
22,366.667,896.565,-4.019.024,-179.919.800,1.292.689,1.349.717,1.111.810,-2.643.093,-31.380.157,-5.859.654,1.272.448,73.261,2.364.910
23,383.333,-32.106,-26,64.938,1.292.723,1.349.709,1.111.779,-1.403.999,-31.636.518,-5.045.703,1.272.617,73.677,2.365.195
24,400.000,-25.627,-276,63.637,1.292.726,1.349.710,1.111.790,-1.254.409,-31.502.092,-4.951.581,1.272.413,73.608,2.365.011
25,416.667,-29.704,-3.259,66.295,1.292.719,1.349.703,1.111.776,-2.376.901,-31.411.713,-5.737.939,1.272.439,73.277,2.364.917
26,433.333,-30.352,-1.067,64.531,1.292.721,1.349.704,1.111.778,-1.227.779,-31.472.961,-4.972.804,1.272.410,73.584,2.365.010
27,450.000,-24.150,-381,61.653,1.292.727,1.349.708,1.111.785,-2.617.595,-31.386.539,-5.876.270,1.272.452,73.314,2.364.937
28,466.667,-31.241,-1.708,65.663,1.292.723,1.349.701,1.111.777,-2.402.519,-31.393.066,-5.733.807,1.272.459,73.325,2.364.946
29,483.333,-29.300,-451,63.694,1.292.723,1.349.707,1.111.782,-2.207.287,-31.436.447,-5.590.376,1.272.447,73.307,2.364.934
30,500.000,-24.925,873,62.346,1.292.733,1.349.707,1.111.793,-2.508.145,-31.393.192,-5.789.964,1.272.448,73.299,2.364.926
31,516.667,905.141,-4.015.820,-179.909.470,1.292.711,1.349.730,1.111.803,-1.315.218,-31.673.458,-4.901.212,1.272.609,73.625,2.365.164
32,533.333,-31.560,-1.137,62.446,1.292.723,1.349.705,1.111.785,-1.499.814,-31.469.967,-5.126.261,1.272.431,73.673,2.365.062
