Format Version,1.23,Take Name,spm,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2023-05-31 02.37.19.681 PM,Capture Start Frame,12481938,Total Frames in Take,1440,Total Exported Frames,1440,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,spm,spm,spm,spm,spm,spm,cf,cf,cf,cf,cf,cf
,ID,"FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,1.483450,-0.764815,179.862061,0.958989,1.341549,0.509219,-5.920656,-8.900030,175.856018,1.072267,0.071832,2.150827
1,0.016667,0.535723,3.269397,-0.021547,0.958940,1.341187,0.509220,-5.920657,-8.900030,175.856033,1.072271,0.071865,2.150826
2,0.033333,-178.617050,-3.210800,179.967117,0.958928,1.341513,0.509055,-5.920660,-8.900033,175.856033,1.072270,0.071853,2.150829
3,0.050000,1.489203,-0.746115,179.852753,0.959007,1.341570,0.509254,-5.920660,-8.900036,175.856033,1.072258,0.071828,2.150827
4,0.066667,0.561283,3.294673,-0.026958,0.958932,1.341180,0.509203,-5.920662,-8.900031,175.856049,1.072264,0.071831,2.150836
5,0.083333,0.441126,3.158938,0.018080,0.958858,1.341131,0.509017,-5.920667,-8.900027,175.856049,1.072251,0.071828,2.150838
6,0.100000,0.506303,3.252625,-0.108624,0.958991,1.341584,0.509266,-5.920667,-8.900027,175.856049,1.072272,0.071846,2.150833
